variant,name,config,model,seed,x_pattern,time_steps,steps,cell_type,mixture_components,target_likelihood_power,hybrid_refinement_steps,state_nll,predictive_y_nll,hybrid_state_nll,hybrid_predictive_y_nll,pareto_state_nll,pareto_predictive_y_nll,coverage_90,variance_ratio,hybrid_coverage_90,hybrid_variance_ratio
k4_component_baseline,nonlinear_weak_sine_observation_seed_321_quadrature_power_ep_component_distilled_k4,outputs/nonlinear_quadrature_power_ep_component_distilled_k4_suite_2026_04_30/configs/nonlinear_weak_sine_observation_seed_321_quadrature_power_ep_component_distilled_k4.yaml,component_mixture_quadrature_power_ep_distilled,321,weak_sinusoidal,96,250,component_mixture,4,0.5,0,2.795132574823653,0.3310217831765529,,,2.795132574823653,,0.91650390625,1.153189989317543,,
k4_component_baseline,nonlinear_intermittent_sine_observation_seed_321_quadrature_power_ep_component_distilled_k4,outputs/nonlinear_quadrature_power_ep_component_distilled_k4_suite_2026_04_30/configs/nonlinear_intermittent_sine_observation_seed_321_quadrature_power_ep_component_distilled_k4.yaml,component_mixture_quadrature_power_ep_distilled,321,intermittent_sinusoidal,96,250,component_mixture,4,0.5,0,2.7868847997042168,0.3846998247056269,,,2.7868847997042168,,0.91650390625,1.1215365081719164,,
k4_component_baseline,nonlinear_random_normal_sine_observation_seed_321_quadrature_power_ep_component_distilled_k4,outputs/nonlinear_quadrature_power_ep_component_distilled_k4_suite_2026_04_30/configs/nonlinear_random_normal_sine_observation_seed_321_quadrature_power_ep_component_distilled_k4.yaml,component_mixture_quadrature_power_ep_distilled,321,random_normal,96,250,component_mixture,4,0.5,0,2.780497608095351,0.8526718728856146,,,2.780497608095351,,0.8861491084098816,0.8965603675021144,,
k5_full_weight,nonlinear_weak_sine_observation_seed_321_quadrature_alias_power_ep_rollout_normalizer_k5,outputs/nonlinear_quadrature_alias_power_ep_rollout_normalizer_k5_suite_2026_04_30/configs/nonlinear_weak_sine_observation_seed_321_quadrature_alias_power_ep_rollout_normalizer_k5.yaml,component_mixture_quadrature_alias_power_ep_rollout_normalizer,321,weak_sinusoidal,96,250,component_mixture,5,0.5,0,2.7883225965127587,0.3312182245973449,,,2.7883225965127587,,0.9519857168197632,1.4783040095638318,,
k5_full_weight,nonlinear_intermittent_sine_observation_seed_321_quadrature_alias_power_ep_rollout_normalizer_k5,outputs/nonlinear_quadrature_alias_power_ep_rollout_normalizer_k5_suite_2026_04_30/configs/nonlinear_intermittent_sine_observation_seed_321_quadrature_alias_power_ep_rollout_normalizer_k5.yaml,component_mixture_quadrature_alias_power_ep_rollout_normalizer,321,intermittent_sinusoidal,96,250,component_mixture,5,0.5,0,2.7860508836528237,0.3837254992440845,,,2.7860508836528237,,0.9510905146598816,1.463762287053495,,
k5_full_weight,nonlinear_random_normal_sine_observation_seed_321_quadrature_alias_power_ep_rollout_normalizer_k5,outputs/nonlinear_quadrature_alias_power_ep_rollout_normalizer_k5_suite_2026_04_30/configs/nonlinear_random_normal_sine_observation_seed_321_quadrature_alias_power_ep_rollout_normalizer_k5.yaml,component_mixture_quadrature_alias_power_ep_rollout_normalizer,321,random_normal,96,250,component_mixture,5,0.5,0,2.8359456998535197,0.8581185856574628,,,2.8359456998535197,,0.9793294668197632,2.1789678917305437,,
shrink0p9,nonlinear_weak_sine_observation_seed_321_quadrature_alias_power_ep_rollout_normalizer_k5_shrink0p9,outputs/nonlinear_alias_shrink_followup_2026_04_30/shrink0p9/configs/nonlinear_weak_sine_observation_seed_321_quadrature_alias_power_ep_rollout_normalizer_k5_shrink0p9.yaml,component_mixture_quadrature_alias_power_ep_rollout_normalizer,321,weak_sinusoidal,96,250,component_mixture,5,0.5,0,2.768477494283174,0.3309510032605927,,,2.768477494283174,,0.9158529043197632,1.0541124783084064,,
shrink0p9,nonlinear_intermittent_sine_observation_seed_321_quadrature_alias_power_ep_rollout_normalizer_k5_shrink0p9,outputs/nonlinear_alias_shrink_followup_2026_04_30/shrink0p9/configs/nonlinear_intermittent_sine_observation_seed_321_quadrature_alias_power_ep_rollout_normalizer_k5_shrink0p9.yaml,component_mixture_quadrature_alias_power_ep_rollout_normalizer,321,intermittent_sinusoidal,96,250,component_mixture,5,0.5,0,2.7585638993250248,0.3837912872044392,,,2.7585638993250248,,0.9130859375,1.0166100483116722,,
shrink0p9,nonlinear_random_normal_sine_observation_seed_321_quadrature_alias_power_ep_rollout_normalizer_k5_shrink0p9,outputs/nonlinear_alias_shrink_followup_2026_04_30/shrink0p9/configs/nonlinear_random_normal_sine_observation_seed_321_quadrature_alias_power_ep_rollout_normalizer_k5_shrink0p9.yaml,component_mixture_quadrature_alias_power_ep_rollout_normalizer,321,random_normal,96,250,component_mixture,5,0.5,0,2.8550840347936353,0.8320431526346398,,,2.8550840347936353,,0.764892578125,0.5827859321042941,,
shrink0p9_stab0p03,nonlinear_weak_sine_observation_seed_321_quadrature_alias_power_ep_rollout_normalizer_k5_shrink0p9_stab0p03,outputs/nonlinear_component_stability_followup_2026_04_30/shrink0p9_stab0p03/configs/nonlinear_weak_sine_observation_seed_321_quadrature_alias_power_ep_rollout_normalizer_k5_shrink0p9_stab0p03.yaml,component_mixture_quadrature_alias_power_ep_rollout_normalizer,321,weak_sinusoidal,96,250,component_mixture,5,0.5,0,2.7684743930317524,0.3309510754850262,,,2.7684743930317524,,0.9158529043197632,1.0541083104578397,,
shrink0p9_stab0p03,nonlinear_intermittent_sine_observation_seed_321_quadrature_alias_power_ep_rollout_normalizer_k5_shrink0p9_stab0p03,outputs/nonlinear_component_stability_followup_2026_04_30/shrink0p9_stab0p03/configs/nonlinear_intermittent_sine_observation_seed_321_quadrature_alias_power_ep_rollout_normalizer_k5_shrink0p9_stab0p03.yaml,component_mixture_quadrature_alias_power_ep_rollout_normalizer,321,intermittent_sinusoidal,96,250,component_mixture,5,0.5,0,2.75856515736526,0.3837914581280023,,,2.75856515736526,,0.9130859375,1.0166345755632331,,
shrink0p9_stab0p03,nonlinear_random_normal_sine_observation_seed_321_quadrature_alias_power_ep_rollout_normalizer_k5_shrink0p9_stab0p03,outputs/nonlinear_component_stability_followup_2026_04_30/shrink0p9_stab0p03/configs/nonlinear_random_normal_sine_observation_seed_321_quadrature_alias_power_ep_rollout_normalizer_k5_shrink0p9_stab0p03.yaml,component_mixture_quadrature_alias_power_ep_rollout_normalizer,321,random_normal,96,250,component_mixture,5,0.5,0,2.854815361759347,0.8319595948595323,,,2.854815361759347,,0.76513671875,0.5830676811345282,,
