gate,reference,acceleration,subset,value,relation,limit,passed
numerical_validation,all,,all,1.0,>=,1.0,True
method_failure_steps,all,,all,0.0,<=,0.0,True
median_update_ms,all,0.0,all,0.6396459999999999,<=,1.0,True
retained_algorithm_state_bytes,all,0.0,all,2251.0,<=,4096.0,True
median_update_ms,all,0.125,all,0.6341045000000001,<=,1.0,True
retained_algorithm_state_bytes,all,0.125,all,2243.0,<=,4096.0,True
median_update_ms,all,0.25,all,0.6296875,<=,1.0,True
retained_algorithm_state_bytes,all,0.25,all,2235.0,<=,4096.0,True
common_input_mean_tail_sum_reduction,all,0.25,all,0.22475959181400168,>=,0.1,True
common_input_max_tail_sum_reduction,all,0.25,all,3.596153469024027,>=,1.0,True
self_fed_mean_tail_sum_reduction,rbpf_16384_r0,0.25,all,0.22992258727428566,>=,0.1,True
self_fed_max_tail_sum_reduction,rbpf_16384_r0,0.25,all,3.6787613963885706,>=,1.0,True
paired_mean_log_loss_increase,rbpf_16384_r0,0.125,all,0.00023702791939772538,<=,0.002,True
mean_excess_log_loss_vs_reference,rbpf_16384_r0,0.125,all,-1.743135719511748e-05,<=,0.02,True
position_rmse_ratio,rbpf_16384_r0,0.125,all,1.0000552012808257,<=,1.02,True
position_coverage_upper,rbpf_16384_r0,0.125,all,0.909423828125,<=,0.95,True
position_coverage_lower,rbpf_16384_r0,0.125,all,-0.909423828125,<=,-0.85,True
velocity_rmse_ratio,rbpf_16384_r0,0.125,all,1.0000036517548454,<=,1.02,True
velocity_coverage_upper,rbpf_16384_r0,0.125,all,0.9033203125,<=,0.95,True
velocity_coverage_lower,rbpf_16384_r0,0.125,all,-0.9033203125,<=,-0.85,True
regime_brier_increase,rbpf_16384_r0,0.125,all,4.162763200983577e-05,<=,0.002,True
predictive_log_loss_increase,rbpf_16384_r0,0.125,all,-5.8144214836852726e-05,<=,0.002,True
recovered_switch_count_decrease,rbpf_16384_r0,0.125,all,0.0,<=,2.0,True
false_confidence_event_count_increase,rbpf_16384_r0,0.125,all,0.0,<=,2.0,True
new_tail_episodes,rbpf_16384_r0,0.125,all,0.0,<=,0.0,True
increase_in_worst_step_excess,rbpf_16384_r0,0.125,all,-0.25419097838856697,<=,0.0,True
paired_mean_log_loss_increase,rbpf_16384_r0,0.125,without_known_focus_seed,0.0003736628117063656,<=,0.002,True
mean_excess_log_loss_vs_reference,rbpf_16384_r0,0.125,without_known_focus_seed,-2.8809519753491415e-06,<=,0.02,True
position_rmse_ratio,rbpf_16384_r0,0.125,without_known_focus_seed,1.0000616901875536,<=,1.02,True
position_coverage_upper,rbpf_16384_r0,0.125,without_known_focus_seed,0.91171875,<=,0.95,True
position_coverage_lower,rbpf_16384_r0,0.125,without_known_focus_seed,-0.91171875,<=,-0.85,True
velocity_rmse_ratio,rbpf_16384_r0,0.125,without_known_focus_seed,0.9999832521509839,<=,1.02,True
velocity_coverage_upper,rbpf_16384_r0,0.125,without_known_focus_seed,0.9046875,<=,0.95,True
velocity_coverage_lower,rbpf_16384_r0,0.125,without_known_focus_seed,-0.9046875,<=,-0.85,True
regime_brier_increase,rbpf_16384_r0,0.125,without_known_focus_seed,3.398870323059744e-05,<=,0.002,True
predictive_log_loss_increase,rbpf_16384_r0,0.125,without_known_focus_seed,-6.883968272775043e-05,<=,0.002,True
recovered_switch_count_decrease,rbpf_16384_r0,0.125,without_known_focus_seed,0.0,<=,2.0,True
false_confidence_event_count_increase,rbpf_16384_r0,0.125,without_known_focus_seed,0.0,<=,2.0,True
new_tail_episodes,rbpf_16384_r0,0.125,without_known_focus_seed,0.0,<=,0.0,True
increase_in_worst_step_excess,rbpf_16384_r0,0.125,without_known_focus_seed,0.013781665819950106,<=,0.0,False
paired_mean_log_loss_increase,rbpf_16384_r0,0.25,all,-0.001352775506903825,<=,0.002,True
mean_excess_log_loss_vs_reference,rbpf_16384_r0,0.25,all,-0.0008343233221373406,<=,0.02,True
position_rmse_ratio,rbpf_16384_r0,0.25,all,0.9999183478871747,<=,1.02,True
position_coverage_upper,rbpf_16384_r0,0.25,all,0.909912109375,<=,0.95,True
position_coverage_lower,rbpf_16384_r0,0.25,all,-0.909912109375,<=,-0.85,True
velocity_rmse_ratio,rbpf_16384_r0,0.25,all,1.0001456350524134,<=,1.02,True
velocity_coverage_upper,rbpf_16384_r0,0.25,all,0.906005859375,<=,0.95,True
velocity_coverage_lower,rbpf_16384_r0,0.25,all,-0.906005859375,<=,-0.85,True
regime_brier_increase,rbpf_16384_r0,0.25,all,5.4927559470355214e-05,<=,0.002,True
predictive_log_loss_increase,rbpf_16384_r0,0.25,all,-0.0002984465901256783,<=,0.002,True
recovered_switch_count_decrease,rbpf_16384_r0,0.25,all,0.0,<=,2.0,True
false_confidence_event_count_increase,rbpf_16384_r0,0.25,all,-1.0,<=,2.0,True
new_tail_episodes,rbpf_16384_r0,0.25,all,0.0,<=,0.0,True
increase_in_worst_step_excess,rbpf_16384_r0,0.25,all,-4.098518722164478,<=,0.0,True
paired_mean_log_loss_increase,rbpf_16384_r0,0.25,without_known_focus_seed,0.0003605408297275847,<=,0.002,True
mean_excess_log_loss_vs_reference,rbpf_16384_r0,0.25,without_known_focus_seed,-0.0009731732104901408,<=,0.02,True
position_rmse_ratio,rbpf_16384_r0,0.25,without_known_focus_seed,0.9999518024851073,<=,1.02,True
position_coverage_upper,rbpf_16384_r0,0.25,without_known_focus_seed,0.9119791666666667,<=,0.95,True
position_coverage_lower,rbpf_16384_r0,0.25,without_known_focus_seed,-0.9119791666666667,<=,-0.85,True
velocity_rmse_ratio,rbpf_16384_r0,0.25,without_known_focus_seed,1.0002747492615516,<=,1.02,True
velocity_coverage_upper,rbpf_16384_r0,0.25,without_known_focus_seed,0.9075520833333334,<=,0.95,True
velocity_coverage_lower,rbpf_16384_r0,0.25,without_known_focus_seed,-0.9075520833333334,<=,-0.85,True
regime_brier_increase,rbpf_16384_r0,0.25,without_known_focus_seed,5.993794651619477e-05,<=,0.002,True
predictive_log_loss_increase,rbpf_16384_r0,0.25,without_known_focus_seed,-0.00021393803288649593,<=,0.002,True
recovered_switch_count_decrease,rbpf_16384_r0,0.25,without_known_focus_seed,0.0,<=,2.0,True
false_confidence_event_count_increase,rbpf_16384_r0,0.25,without_known_focus_seed,-1.0,<=,2.0,True
new_tail_episodes,rbpf_16384_r0,0.25,without_known_focus_seed,0.0,<=,0.0,True
increase_in_worst_step_excess,rbpf_16384_r0,0.25,without_known_focus_seed,-0.28419735789272327,<=,0.0,True
self_fed_mean_tail_sum_reduction,rbpf_4096_r0,0.25,all,0.2296225094540128,>=,0.1,True
self_fed_max_tail_sum_reduction,rbpf_4096_r0,0.25,all,3.673960151264205,>=,1.0,True
paired_mean_log_loss_increase,rbpf_4096_r0,0.125,all,0.00023702791939772538,<=,0.002,True
mean_excess_log_loss_vs_reference,rbpf_4096_r0,0.125,all,-4.250945049448455e-06,<=,0.02,True
position_rmse_ratio,rbpf_4096_r0,0.125,all,1.0000552012808257,<=,1.02,True
position_coverage_upper,rbpf_4096_r0,0.125,all,0.909423828125,<=,0.95,True
position_coverage_lower,rbpf_4096_r0,0.125,all,-0.909423828125,<=,-0.85,True
velocity_rmse_ratio,rbpf_4096_r0,0.125,all,1.0000036517548454,<=,1.02,True
velocity_coverage_upper,rbpf_4096_r0,0.125,all,0.9033203125,<=,0.95,True
velocity_coverage_lower,rbpf_4096_r0,0.125,all,-0.9033203125,<=,-0.85,True
regime_brier_increase,rbpf_4096_r0,0.125,all,4.162763200983577e-05,<=,0.002,True
predictive_log_loss_increase,rbpf_4096_r0,0.125,all,-5.8144214836852726e-05,<=,0.002,True
recovered_switch_count_decrease,rbpf_4096_r0,0.125,all,0.0,<=,2.0,True
false_confidence_event_count_increase,rbpf_4096_r0,0.125,all,0.0,<=,2.0,True
new_tail_episodes,rbpf_4096_r0,0.125,all,0.0,<=,0.0,True
increase_in_worst_step_excess,rbpf_4096_r0,0.125,all,-0.2709786200896058,<=,0.0,True
paired_mean_log_loss_increase,rbpf_4096_r0,0.125,without_known_focus_seed,0.0003736628117063656,<=,0.002,True
mean_excess_log_loss_vs_reference,rbpf_4096_r0,0.125,without_known_focus_seed,7.494086067977193e-06,<=,0.02,True
position_rmse_ratio,rbpf_4096_r0,0.125,without_known_focus_seed,1.0000616901875536,<=,1.02,True
position_coverage_upper,rbpf_4096_r0,0.125,without_known_focus_seed,0.91171875,<=,0.95,True
position_coverage_lower,rbpf_4096_r0,0.125,without_known_focus_seed,-0.91171875,<=,-0.85,True
velocity_rmse_ratio,rbpf_4096_r0,0.125,without_known_focus_seed,0.9999832521509839,<=,1.02,True
velocity_coverage_upper,rbpf_4096_r0,0.125,without_known_focus_seed,0.9046875,<=,0.95,True
velocity_coverage_lower,rbpf_4096_r0,0.125,without_known_focus_seed,-0.9046875,<=,-0.85,True
regime_brier_increase,rbpf_4096_r0,0.125,without_known_focus_seed,3.398870323059744e-05,<=,0.002,True
predictive_log_loss_increase,rbpf_4096_r0,0.125,without_known_focus_seed,-6.883968272775043e-05,<=,0.002,True
recovered_switch_count_decrease,rbpf_4096_r0,0.125,without_known_focus_seed,0.0,<=,2.0,True
false_confidence_event_count_increase,rbpf_4096_r0,0.125,without_known_focus_seed,0.0,<=,2.0,True
new_tail_episodes,rbpf_4096_r0,0.125,without_known_focus_seed,0.0,<=,0.0,True
increase_in_worst_step_excess,rbpf_4096_r0,0.125,without_known_focus_seed,0.012618504124624952,<=,0.0,False
paired_mean_log_loss_increase,rbpf_4096_r0,0.25,all,-0.001352775506903825,<=,0.002,True
mean_excess_log_loss_vs_reference,rbpf_4096_r0,0.25,all,-0.0009163215653129875,<=,0.02,True
position_rmse_ratio,rbpf_4096_r0,0.25,all,0.9999183478871747,<=,1.02,True
position_coverage_upper,rbpf_4096_r0,0.25,all,0.909912109375,<=,0.95,True
position_coverage_lower,rbpf_4096_r0,0.25,all,-0.909912109375,<=,-0.85,True
velocity_rmse_ratio,rbpf_4096_r0,0.25,all,1.0001456350524134,<=,1.02,True
velocity_coverage_upper,rbpf_4096_r0,0.25,all,0.906005859375,<=,0.95,True
velocity_coverage_lower,rbpf_4096_r0,0.25,all,-0.906005859375,<=,-0.85,True
regime_brier_increase,rbpf_4096_r0,0.25,all,5.4927559470355214e-05,<=,0.002,True
predictive_log_loss_increase,rbpf_4096_r0,0.25,all,-0.0002984465901256783,<=,0.002,True
recovered_switch_count_decrease,rbpf_4096_r0,0.25,all,0.0,<=,2.0,True
false_confidence_event_count_increase,rbpf_4096_r0,0.25,all,-1.0,<=,2.0,True
new_tail_episodes,rbpf_4096_r0,0.25,all,0.0,<=,0.0,True
increase_in_worst_step_excess,rbpf_4096_r0,0.25,all,-4.106416773930813,<=,0.0,True
paired_mean_log_loss_increase,rbpf_4096_r0,0.25,without_known_focus_seed,0.0003605408297275847,<=,0.002,True
mean_excess_log_loss_vs_reference,rbpf_4096_r0,0.25,without_known_focus_seed,-0.0010649181916507855,<=,0.02,True
position_rmse_ratio,rbpf_4096_r0,0.25,without_known_focus_seed,0.9999518024851073,<=,1.02,True
position_coverage_upper,rbpf_4096_r0,0.25,without_known_focus_seed,0.9119791666666667,<=,0.95,True
position_coverage_lower,rbpf_4096_r0,0.25,without_known_focus_seed,-0.9119791666666667,<=,-0.85,True
velocity_rmse_ratio,rbpf_4096_r0,0.25,without_known_focus_seed,1.0002747492615516,<=,1.02,True
velocity_coverage_upper,rbpf_4096_r0,0.25,without_known_focus_seed,0.9075520833333334,<=,0.95,True
velocity_coverage_lower,rbpf_4096_r0,0.25,without_known_focus_seed,-0.9075520833333334,<=,-0.85,True
regime_brier_increase,rbpf_4096_r0,0.25,without_known_focus_seed,5.993794651619477e-05,<=,0.002,True
predictive_log_loss_increase,rbpf_4096_r0,0.25,without_known_focus_seed,-0.00021393803288649593,<=,0.002,True
recovered_switch_count_decrease,rbpf_4096_r0,0.25,without_known_focus_seed,0.0,<=,2.0,True
false_confidence_event_count_increase,rbpf_4096_r0,0.25,without_known_focus_seed,-1.0,<=,2.0,True
new_tail_episodes,rbpf_4096_r0,0.25,without_known_focus_seed,0.0,<=,0.0,True
increase_in_worst_step_excess,rbpf_4096_r0,0.25,without_known_focus_seed,-0.2662455831302353,<=,0.0,True
self_fed_mean_tail_sum_reduction,rbpf_4096_r1,0.25,all,0.23047015622682038,>=,0.1,True
self_fed_max_tail_sum_reduction,rbpf_4096_r1,0.25,all,3.687522499629126,>=,1.0,True
paired_mean_log_loss_increase,rbpf_4096_r1,0.125,all,0.00023702791939772538,<=,0.002,True
mean_excess_log_loss_vs_reference,rbpf_4096_r1,0.125,all,-7.493875350434511e-05,<=,0.02,True
position_rmse_ratio,rbpf_4096_r1,0.125,all,1.0000552012808257,<=,1.02,True
position_coverage_upper,rbpf_4096_r1,0.125,all,0.909423828125,<=,0.95,True
position_coverage_lower,rbpf_4096_r1,0.125,all,-0.909423828125,<=,-0.85,True
velocity_rmse_ratio,rbpf_4096_r1,0.125,all,1.0000036517548454,<=,1.02,True
velocity_coverage_upper,rbpf_4096_r1,0.125,all,0.9033203125,<=,0.95,True
velocity_coverage_lower,rbpf_4096_r1,0.125,all,-0.9033203125,<=,-0.85,True
regime_brier_increase,rbpf_4096_r1,0.125,all,4.162763200983577e-05,<=,0.002,True
