acceleration,seed,branch_match_k2,gaussian_sum_k4,runnalls_k4,runnalls_minus_existing_k4
0.125,2026090700,0.8943528442723406,0.9017986354856848,0.8999038419738492,-0.0018947935118356352
0.125,2026090701,0.8644596876524577,0.8615946553085793,0.8610090966930369,-0.0005855586155423254
0.125,2026090702,0.7521658432762768,0.7506949858376519,0.7530979711926835,0.002402985355031584
0.125,2026090703,0.8601315691412534,0.8578036507723716,0.8591364574306715,0.0013328066582998233
0.125,2026090704,0.7793334405135124,0.7817472868004072,0.7844714701752956,0.0027241833748884448
0.125,2026090705,0.834294252772859,0.8345182610447277,0.8397276486604066,0.0052093876156789065
0.125,2026090706,0.794508121130698,0.7899944864729045,0.7861344832785425,-0.0038600031943619717
0.125,2026090707,0.8545913773471957,0.8548773387988065,0.8546428292262136,-0.00023450957259285587
0.125,2026090708,1.1488166214530555,1.1486643177158915,1.1468518222506596,-0.001812495465231878
0.125,2026090709,1.058183735299347,1.0517791433972017,1.0542176331980664,0.002438489800864696
0.125,2026090710,0.6692539569102767,0.6715202800488345,0.6720862953497224,0.0005660153008879565
0.125,2026090711,0.8795077625905503,0.8798590430943869,0.8810719539789746,0.0012129108845877479
0.125,2026090712,0.949946631895116,0.946287726548986,0.9456124611129262,-0.0006752654360597798
0.125,2026090713,0.729223934982024,0.7272594650356015,0.7287859507854331,0.0015264857498316076
0.125,2026090714,0.7637018252252723,0.7619064445231851,0.760015898665404,-0.0018905458577811451
0.125,2026090715,0.8978719679140901,0.8938539418476146,0.8911862954713131,-0.002667646376301458
0.25,2026090700,0.8441329335028912,0.8374084506288602,0.8362484214419106,-0.0011600291869495738
0.25,2026090701,0.7766520985508139,0.7689224434026044,0.7689367503592872,1.4306956682808014e-05
0.25,2026090702,0.6767742334675357,0.6710301789961055,0.6776994492277362,0.006669270231630664
0.25,2026090703,0.7540087039907463,0.7514632361187172,0.752593531199087,0.0011302950803697698
0.25,2026090704,0.6908508140561385,0.6891968085225069,0.695617825839523,0.006421017317016164
0.25,2026090705,0.7410695839086795,0.7505131796727457,0.7558026011117716,0.005289421439025888
0.25,2026090706,0.7390809101460198,0.7240105481373438,0.7225957548194766,-0.0014147933178672023
0.25,2026090707,0.7552764859768826,0.7604313315858771,0.7596033812146149,-0.0008279503712621539
0.25,2026090708,1.1326113057941385,1.1264170496566994,1.0993645291003251,-0.027052520556374304
0.25,2026090709,0.9624044405291498,0.959631095392457,0.9612628305645522,0.00163173517209525
0.25,2026090710,0.6088155087995362,0.6137059193254002,0.610791218313294,-0.0029147010121062245
0.25,2026090711,0.7890583938703559,0.7880401326122812,0.7911403052320989,0.003100172619817654
0.25,2026090712,0.8536214315843731,0.856365192208233,0.8448709953706568,-0.011494196837576243
0.25,2026090713,0.652053543034724,0.649677549737972,0.64768973992401,-0.0019878098139619604
0.25,2026090714,0.7473143617645944,0.7365205679403812,0.7406263236022095,0.004105755661828248
0.25,2026090715,0.8560929876519622,0.8387688813193267,0.8356144998264976,-0.0031543814928290947
