family,method,endpoint,episodes,recovered,censored,transient,false_agreement_steps,mean_final_distance,max_final_distance
A,adf_k1_q128,correct_reference_recovery,16,0,16,0,0,1.0709925652171095,1.2195565810445275
A,adf_k1_q128,prior_agreement,16,0,16,0,0,1.0000000000000056,1.0000000000000706
A,adf_k1_q128,same_prior_accuracy,16,0,16,0,0,0.24142878746221016,0.3189231729319342
A,em_k4_q128,correct_reference_recovery,16,0,16,0,0,1.0440287342671357,1.2055498186483604
A,em_k4_q128,prior_agreement,16,0,16,0,0,1.0000099008633114,1.0002096636742452
A,em_k4_q128,same_prior_accuracy,16,0,16,3,0,0.15395718781542492,0.2671351119001718
A,em_k4_q256,correct_reference_recovery,16,0,16,0,0,1.02448622461066,1.2053317403581987
A,em_k4_q256,prior_agreement,16,0,16,0,0,0.9999998838566094,1.0000002606312817
A,em_k4_q256,same_prior_accuracy,16,0,16,3,0,0.1498494249702445,0.2575346797855266
A,em_k8_q128,correct_reference_recovery,16,0,16,0,0,0.9900671823938625,1.0355669213501868
A,em_k8_q128,prior_agreement,16,0,16,0,0,1.0000082175969487,1.0001131481082344
A,em_k8_q128,same_prior_accuracy,16,7,9,5,0,0.08268463457009548,0.16145457088198398
B,adf_k1_q128,correct_reference_recovery,16,10,6,1,8,0.09160059949487477,0.6763571981360089
B,adf_k1_q128,prior_agreement,16,10,6,2,8,0.08289673137651095,0.6048873529288291
B,adf_k1_q128,same_prior_accuracy,16,10,6,1,8,0.09142969655895918,0.6755489317562856
B,em_k4_q128,correct_reference_recovery,16,14,2,0,0,0.024940219587655715,0.21711138007286118
B,em_k4_q128,prior_agreement,16,13,3,1,0,0.024854171702094113,0.21828208978867128
B,em_k4_q128,same_prior_accuracy,16,14,2,0,0,0.02483974205437289,0.21679168585677147
B,em_k4_q256,correct_reference_recovery,16,14,2,0,0,0.024521324857163962,0.21035996434417584
B,em_k4_q256,prior_agreement,16,13,3,1,0,0.02445583745378638,0.21183640182796384
B,em_k4_q256,same_prior_accuracy,16,14,2,0,0,0.02442246784875001,0.21004027012806648
B,em_k8_q128,correct_reference_recovery,16,14,2,0,0,0.011713424378747735,0.09822273308177935
B,em_k8_q128,prior_agreement,16,14,2,0,0,0.011643423982920611,0.09725836816023661
B,em_k8_q128,same_prior_accuracy,16,14,2,0,0,0.011596247406857715,0.09737628924743912
